-0.5441160 0.2495200 0.0974790 ; -0.5709590 0.2363550 0.1109700
-0.5734850 0.2405440 0.1110210 ; -0.5709590 0.2363550 0.1109700
-0.5441160 0.2495200 0.0974790 ; -0.5734850 0.2405440 0.1110210
-0.5093890 0.2645430 0.0873910 ; -0.5441160 0.2495200 0.0974790
-0.5411500 0.2453970 0.0970430 ; -0.5093890 0.2645430 0.0873910
-0.5065390 0.2603500 0.0869570 ; -0.5093890 0.2645430 0.0873910
-0.4527950 0.4933720 0.7242400 ; -0.4811660 0.4793740 0.7084690
-0.4493340 0.4904060 0.7251470 ; -0.4811660 0.4793740 0.7084690
-0.4527950 0.4933720 0.7242400 ; -0.4493340 0.4904060 0.7251470
-0.4079540 0.5085870 0.7296020 ; -0.4493340 0.4904060 0.7251470
-0.4050540 0.5052580 0.7303620 ; -0.4493340 0.4904060 0.7251470
-0.4079540 0.5085870 0.7296020 ; -0.4050540 0.5052580 0.7303620
-0.5745910 0.3111400 0.3164480 ; -0.5567600 0.3612040 0.4438770
-0.5699290 0.3091190 0.3178670 ; -0.5745910 0.3111400 0.3164480
-0.5567600 0.3612040 0.4438770 ; -0.5699290 0.3091190 0.3178670
-0.5522210 0.3591890 0.4452490 ; -0.5699290 0.3091190 0.3178670
-0.5567600 0.3612040 0.4438770 ; -0.5522210 0.3591890 0.4452490
-0.3544850 0.3218210 0.0756440 ; -0.3518200 0.3175170 0.0755360
-0.3518200 0.3175170 0.0755360 ; -0.1995800 0.3760990 0.0639030
-0.1971030 0.3716900 0.0641140 ; -0.1995800 0.3760990 0.0639030
-0.5295290 0.4024330 0.5636440 ; -0.5510690 0.3554500 0.4483080
-0.5305270 0.4062680 0.5606940 ; -0.5295290 0.4024330 0.5636440
-0.5510690 0.3554500 0.4483080 ; -0.5305270 0.4062680 0.5606940
-0.5522210 0.3591890 0.4452490 ; -0.5305270 0.4062680 0.5606940
-0.5510690 0.3554500 0.4483080 ; -0.5522210 0.3591890 0.4452490
-0.4811660 0.4793740 0.7084690 ; -0.4801690 0.4757040 0.7116220
-0.5079910 0.4494160 0.6753550 ; -0.4811660 0.4793740 0.7084690
-0.5079910 0.4494160 0.6753550 ; -0.5088320 0.4533440 0.6725190
-0.5734850 0.2405440 0.1110210 ; -0.5843170 0.2346430 0.1297570
-0.5860270 0.2389290 0.1287550 ; -0.5843170 0.2346430 0.1297570
-0.5907490 0.2421550 0.1618890 ; -0.5893690 0.2380220 0.1640410
-0.5843170 0.2346430 0.1297570 ; -0.5907490 0.2421550 0.1618890
-0.5876480 0.2555880 0.1897460 ; -0.5862860 0.2517020 0.1925510
-0.5893690 0.2380220 0.1640410 ; -0.5876480 0.2555880 0.1897460
-0.2998940 0.5360110 0.7227380 ; -0.3008910 0.5393780 0.7191180
-0.3008910 0.5393780 0.7191180 ; -0.1961170 0.5671080 0.7114920
-0.1967250 0.5705030 0.7078700 ; -0.1961170 0.5671080 0.7114920
-0.0445170 0.4336670 0.0720500 ; -0.0413820 0.4376910 0.0693810
-0.0413820 0.4376910 0.0693810 ; -0.0446780 0.4273780 0.0521540
-0.0428200 0.4308870 0.0478460 ; -0.0446780 0.4273780 0.0521540
-0.0423070 0.4393640 0.0924350 ; -0.0391590 0.4433810 0.0896540
-0.0391590 0.4433810 0.0896540 ; -0.0445170 0.4336670 0.0720500
-0.0423070 0.4393640 0.0924350 ; -0.0351130 0.4525860 0.1275690
-0.5441160 0.2495200 0.0974790 ; -0.5470400 0.2520640 0.0926590
-0.5470400 0.2520640 0.0926590 ; -0.5734850 0.2405440 0.1110210
-0.5093890 0.2645430 0.0873910 ; -0.5120800 0.2672320 0.0825120
-0.5120800 0.2672320 0.0825120 ; -0.5441160 0.2495200 0.0974790
-0.4493340 0.4904060 0.7251470 ; -0.4481550 0.4869280 0.7286270
-0.4801690 0.4757040 0.7116220 ; -0.4493340 0.4904060 0.7251470
-0.4050540 0.5052580 0.7303620 ; -0.4036680 0.5019140 0.7339810
-0.4481550 0.4869280 0.7286270 ; -0.4050540 0.5052580 0.7303620
-0.5686760 0.3054020 0.3208200 ; -0.5862860 0.2517020 0.1925510
-0.5699290 0.3091190 0.3178670 ; -0.5686760 0.3054020 0.3208200
-0.5862860 0.2517020 0.1925510 ; -0.5699290 0.3091190 0.3178670
-0.5876480 0.2555880 0.1897460 ; -0.5699290 0.3091190 0.3178670
-0.0934550 0.6355660 0.6760990 ; -0.0933990 0.6367910 0.6534130
-0.0933990 0.6367910 0.6534130 ; -0.0463960 0.6387250 0.6744000
-0.0463700 0.6401920 0.6499140 ; -0.0463960 0.6387250 0.6744000
-0.0933990 0.6367910 0.6534130 ; -0.0463700 0.6401920 0.6499140
-0.0000100 0.6419010 0.6735290 ; -0.0000100 0.6085260 0.6930810
-0.0463960 0.6387250 0.6744000 ; -0.0000100 0.6419010 0.6735290
-0.0000100 0.6085260 0.6930810 ; -0.0463960 0.6387250 0.6744000
-0.0000100 0.6085260 0.6930810 ; -0.0460240 0.6055150 0.6939640
-0.0272880 0.5076450 0.1546330 ; -0.0502990 0.5000050 0.1346980
-0.0184670 0.4966560 0.1334310 ; -0.0272880 0.5076450 0.1546330
-0.0502990 0.5000050 0.1346980 ; -0.0184670 0.4966560 0.1334310
-0.0000100 0.4991780 0.1339700 ; -0.0184670 0.4966560 0.1334310
-0.0000100 0.4616580 0.1373430 ; -0.0000100 0.4991780 0.1339700
-0.0184670 0.4966560 0.1334310 ; -0.0000100 0.4616580 0.1373430
-0.0172260 0.4549970 0.1378500 ; -0.0000100 0.4616580 0.1373430
-0.0000100 0.4669150 0.5213900 ; -0.0000100 0.4259050 0.4012100
-0.0405610 0.4625430 0.5217820 ; -0.0000100 0.4669150 0.5213900
-0.0000100 0.4259050 0.4012100 ; -0.0405610 0.4625430 0.5217820
-0.0000100 0.4259050 0.4012100 ; -0.0364540 0.4220120 0.4015180
-0.0643190 0.3870070 0.2730360 ; -0.0735630 0.4174060 0.4023450
-0.0288020 0.3908690 0.2777020 ; -0.0643190 0.3870070 0.2730360
-0.0735630 0.4174060 0.4023450 ; -0.0288020 0.3908690 0.2777020
-0.0364540 0.4220120 0.4015180 ; -0.0288020 0.3908690 0.2777020
-0.0000100 0.5736920 0.3783170 ; -0.0381540 0.5707000 0.3787960
-0.0000100 0.5387660 0.2580630 ; -0.0000100 0.5736920 0.3783170
-0.0381540 0.5707000 0.3787960 ; -0.0000100 0.5387660 0.2580630
-0.0305030 0.5374590 0.2558090 ; -0.0000100 0.5387660 0.2580630
-0.0000100 0.6013180 0.6976610 ; -0.0000100 0.5619050 0.6930050
-0.0458430 0.5982910 0.6985500 ; -0.0000100 0.6013180 0.6976610
-0.0000100 0.5619050 0.6930050 ; -0.0458430 0.5982910 0.6985500
-0.0000100 0.5619050 0.6930050 ; -0.0453000 0.5587690 0.6938540
-0.0000100 0.5619050 0.6930050 ; -0.0000100 0.5242380 0.6684470
-0.0000100 0.5242380 0.6684470 ; -0.0453000 0.5587690 0.6938540
-0.0000100 0.5242380 0.6684470 ; -0.0450120 0.5208530 0.6692390
-0.0000100 0.3909170 0.1502650 ; -0.0173910 0.3895760 0.1504660
-0.0000100 0.3721250 0.2002120 ; -0.0000100 0.3909170 0.1502650
-0.0173910 0.3895760 0.1504660 ; -0.0000100 0.3721250 0.2002120
-0.0211550 0.3697900 0.1987660 ; -0.0000100 0.3721250 0.2002120
-0.0000100 0.4525430 0.1419460 ; -0.0170370 0.4464400 0.1425840
-0.0000100 0.3909170 0.1502650 ; -0.0000100 0.4525430 0.1419460
-0.0170370 0.4464400 0.1425840 ; -0.0000100 0.3909170 0.1502650
-0.0000100 0.5242380 0.6684470 ; -0.0000100 0.5064910 0.6327300
-0.0000100 0.5064910 0.6327300 ; -0.0450120 0.5208530 0.6692390
-0.0000100 0.5064910 0.6327300 ; -0.0446740 0.5027680 0.6334520
-0.0000100 0.6085260 0.6930810 ; -0.0000100 0.6047150 0.6940290
-0.0000100 0.6047150 0.6940290 ; -0.0460240 0.6055150 0.6939640
-0.0000100 0.6047150 0.6940290 ; -0.0459510 0.6016980 0.6949240
-0.0000100 0.4520290 0.1682750 ; -0.0000100 0.4616580 0.1373430
-0.0185590 0.4513150 0.1428370 ; -0.0000100 0.4520290 0.1682750
-0.0000100 0.4616580 0.1373430 ; -0.0185590 0.4513150 0.1428370
-0.0923430 0.5952080 0.7002490 ; -0.0925640 0.5986310 0.6966230
-0.0925640 0.5986310 0.6966230 ; -0.0458430 0.5982910 0.6985500
-0.0459510 0.6016980 0.6949240 ; -0.0458430 0.5982910 0.6985500
-0.0347310 0.4440620 0.1323010 ; -0.0185590 0.4513150 0.1428370
-0.0170370 0.4464400 0.1425840 ; -0.0185590 0.4513150 0.1428370
-0.5485990 0.4117490 0.4308370 ; -0.5397580 0.4416210 0.5485670
-0.5131980 0.4554110 0.6708720 ; -0.5397580 0.4416210 0.5485670
-0.3362050 0.5261120 0.5250480 ; -0.3460680 0.4885920 0.4064270
-0.2115110 0.5269870 0.3930230 ; -0.3362050 0.5261120 0.5250480
-0.2115110 0.5269870 0.3930230 ; -0.2106080 0.5579370 0.5135260
-0.3101180 0.4062620 0.5468570 ; -0.2999280 0.4446940 0.6586100
-0.2999280 0.4446940 0.6586100 ; -0.1959500 0.4352190 0.5348510
-0.1949610 0.4734450 0.6477460 ; -0.1959500 0.4352190 0.5348510
-0.4380330 0.4043960 0.6697280 ; -0.4586590 0.3619120 0.5606960
-0.4586590 0.3619120 0.5606960 ; -0.4720400 0.3989500 0.6693800
-0.4904940 0.3543080 0.5615450 ; -0.4720400 0.3989500 0.6693800
-0.4048830 0.4129430 0.6694760 ; -0.4242860 0.3743090 0.5588660
-0.4242860 0.3743090 0.5588660 ; -0.4380330 0.4043960 0.6697280
-0.0817840 0.4575110 0.5228400 ; -0.0900040 0.4992010 0.6368770
-0.0446740 0.5027680 0.6334520 ; -0.0817840 0.4575110 0.5228400
-0.0446740 0.5027680 0.6334520 ; -0.0405610 0.4625430 0.5217820
-0.4972620 0.4727090 0.5396090 ; -0.4737030 0.5149900 0.6497670
-0.5061290 0.4994120 0.6515310 ; -0.4972620 0.4727090 0.5396090
-0.4618130 0.4912850 0.5365700 ; -0.4396160 0.5309010 0.6487270
-0.4737030 0.5149900 0.6497670 ; -0.4618130 0.4912850 0.5365700
-0.5510690 0.3554500 0.4483080 ; -0.5084240 0.3760060 0.5674740
-0.4720400 0.3989500 0.6693800 ; -0.5084240 0.3760060 0.5674740
-0.5349770 0.4083080 0.5591860 ; -0.5522210 0.3591890 0.4452490
-0.5295290 0.4024330 0.5636440 ; -0.5088320 0.4533440 0.6725190
-0.5672970 0.3623850 0.3034780 ; -0.5859970 0.3095590 0.1753760
-0.5549520 0.3273820 0.1698290 ; -0.5672970 0.3623850 0.3034780
-0.5549520 0.3273820 0.1698290 ; -0.5361140 0.3801920 0.2981040
-0.5181680 0.3473290 0.1639710 ; -0.5361140 0.3801920 0.2981040
-0.5181680 0.3473290 0.1639710 ; -0.4993900 0.3975140 0.2919560
-0.5859970 0.3095590 0.1753760 ; -0.5802080 0.3466650 0.3080250
-0.5567600 0.3612040 0.4438770 ; -0.5802080 0.3466650 0.3080250
-0.3526120 0.4442010 0.2782980 ; -0.3622120 0.4012180 0.1542150
-0.2062520 0.4521090 0.1444560 ; -0.3526120 0.4442010 0.2782980
-0.2062520 0.4521090 0.1444560 ; -0.2058330 0.4878900 0.2646380
-0.3238040 0.3134930 0.2996950 ; -0.3180540 0.3591000 0.4288600
-0.1958120 0.3912670 0.4156000 ; -0.3238040 0.3134930 0.2996950
-0.1958120 0.3912670 0.4156000 ; -0.1903490 0.3527610 0.2859840
-0.0590560 0.5312710 0.2509820 ; -0.0502990 0.5000050 0.1346980
-0.0272880 0.5076450 0.1546330 ; -0.0590560 0.5312710 0.2509820
-0.0272880 0.5076450 0.1546330 ; -0.0305030 0.5374590 0.2558090
-0.4757440 0.3142070 0.4469240 ; -0.4927020 0.2624760 0.3186620
-0.4927020 0.2624760 0.3186620 ; -0.5089430 0.3080230 0.4497320
-0.4403010 0.3239310 0.4421180 ; -0.4572640 0.2712280 0.3134050
-0.4572640 0.2712280 0.3134050 ; -0.4757440 0.3142070 0.4469240
-0.5621740 0.2245570 0.1981470 ; -0.5258450 0.2572030 0.3218420
-0.5621740 0.2245570 0.1981470 ; -0.5452000 0.2791520 0.3267310
-0.5862860 0.2517020 0.1925510 ; -0.5452000 0.2791520 0.3267310
-0.5745910 0.3111400 0.3164480 ; -0.5876480 0.2555880 0.1897460
-0.5686760 0.3054020 0.3208200 ; -0.5522210 0.3591890 0.4452490
-0.0614310 0.3682890 0.1743600 ; -0.0643190 0.3870070 0.2730360
-0.0643190 0.3870070 0.2730360 ; -0.0211550 0.3697900 0.1987660
-0.0288020 0.3908690 0.2777020 ; -0.0211550 0.3697900 0.1987660
-0.0463700 0.6401920 0.6499140 ; -0.0000100 0.6419010 0.6735290
-0.0000100 0.6442220 0.6492200 ; -0.0000100 0.6419010 0.6735290
-0.0463700 0.6401920 0.6499140 ; -0.0000100 0.6442220 0.6492200
-0.0466090 0.6353890 0.6109410 ; -0.0000100 0.6378330 0.6109450
-0.0463700 0.6401920 0.6499140 ; -0.0466090 0.6353890 0.6109410
-0.0000100 0.6378330 0.6109450 ; -0.0463700 0.6401920 0.6499140
-0.0000100 0.6378330 0.6109450 ; -0.0000100 0.6442220 0.6492200
-0.0000100 0.6094110 0.5018790 ; -0.0000100 0.6378330 0.6109450
-0.0424680 0.6063340 0.5020360 ; -0.0000100 0.6094110 0.5018790
-0.0000100 0.6378330 0.6109450 ; -0.0424680 0.6063340 0.5020360
-0.0466090 0.6353890 0.6109410 ; -0.0424680 0.6063340 0.5020360
-0.0000100 0.5125150 0.1562460 ; -0.0272880 0.5076450 0.1546330
-0.0184670 0.4966560 0.1334310 ; -0.0000100 0.5125150 0.1562460
-0.0000100 0.4991780 0.1339700 ; -0.0000100 0.5125150 0.1562460
-0.0288020 0.3908690 0.2777020 ; -0.0000100 0.3721250 0.2002120
-0.0000100 0.3913110 0.2807210 ; -0.0000100 0.3721250 0.2002120
-0.0288020 0.3908690 0.2777020 ; -0.0000100 0.3913110 0.2807210
-0.0459510 0.6016980 0.6949240 ; -0.0000100 0.6013180 0.6976610
-0.0000100 0.6047150 0.6940290 ; -0.0000100 0.6013180 0.6976610
-0.0000100 0.4525430 0.1419460 ; -0.0185590 0.4513150 0.1428370
-0.0000100 0.4525430 0.1419460 ; -0.0000100 0.4520290 0.1682750
-0.0424680 0.6063340 0.5020360 ; -0.0381540 0.5707000 0.3787960
-0.0000100 0.5736920 0.3783170 ; -0.0424680 0.6063340 0.5020360
-0.0000100 0.5736920 0.3783170 ; -0.0000100 0.6094110 0.5018790
-0.0000100 0.5064910 0.6327300 ; -0.0405610 0.4625430 0.5217820
-0.0000100 0.5064910 0.6327300 ; -0.0000100 0.4669150 0.5213900
-0.0364540 0.4220120 0.4015180 ; -0.0000100 0.3913110 0.2807210
-0.0000100 0.4259050 0.4012100 ; -0.0000100 0.3913110 0.2807210
-0.0000100 0.5125150 0.1562460 ; -0.0305030 0.5374590 0.2558090
-0.0000100 0.5125150 0.1562460 ; -0.0000100 0.5387660 0.2580630
-0.0850020 0.5990470 0.5020040 ; -0.0424680 0.6063340 0.5020360
-0.0930430 0.6286190 0.6101230 ; -0.0850020 0.5990470 0.5020040
-0.0424680 0.6063340 0.5020360 ; -0.0930430 0.6286190 0.6101230
-0.0466090 0.6353890 0.6109410 ; -0.0930430 0.6286190 0.6101230
-0.0933990 0.6367910 0.6534130 ; -0.0930430 0.6286190 0.6101230
-0.0930430 0.6286190 0.6101230 ; -0.0463700 0.6401920 0.6499140
-0.0850020 0.5990470 0.5020040 ; -0.0769650 0.5649580 0.3796180
-0.0769650 0.5649580 0.3796180 ; -0.0424680 0.6063340 0.5020360
-0.5247540 0.3127650 0.0884430 ; -0.3701480 0.3689870 0.0757670
-0.3701480 0.3689870 0.0757670 ; -0.5249290 0.3226600 0.1034730
-0.3698800 0.3780110 0.0898670 ; -0.5249290 0.3226600 0.1034730
-0.0597960 0.4797240 0.0626460 ; -0.2148410 0.4303660 0.0762580
-0.2148410 0.4303660 0.0762580 ; -0.0609220 0.4724440 0.0504160
-0.2155330 0.4222170 0.0630900 ; -0.0609220 0.4724440 0.0504160
-0.3698800 0.3780110 0.0898670 ; -0.5237450 0.3315620 0.1359190
-0.3685510 0.3865050 0.1175810 ; -0.5237450 0.3315620 0.1359190
-0.0581650 0.4874010 0.0808990 ; -0.2133570 0.4384510 0.0992410
-0.2133570 0.4384510 0.0992410 ; -0.0597960 0.4797240 0.0626460
-0.3435660 0.2652790 0.1388790 ; -0.4798990 0.2094370 0.1572630
-0.4742200 0.2225240 0.1855490 ; -0.3435660 0.2652790 0.1388790
-0.4742200 0.2225240 0.1855490 ; -0.3366220 0.2741100 0.1818180
-0.1990310 0.3226980 0.1780890 ; -0.0614310 0.3682890 0.1743600
-0.0708980 0.3679720 0.1021030 ; -0.1990310 0.3226980 0.1780890
-0.0708980 0.3679720 0.1021030 ; -0.2072330 0.3181250 0.1204910
-0.5120800 0.2672320 0.0825120 ; -0.3556630 0.3247820 0.0709540
-0.3556630 0.3247820 0.0709540 ; -0.5233140 0.3014200 0.0808350
-0.3637220 0.3586740 0.0689390 ; -0.5233140 0.3014200 0.0808350
-0.0445330 0.4641880 0.0451370 ; -0.2041300 0.4129310 0.0570350
-0.2041300 0.4129310 0.0570350 ; -0.0428200 0.4308870 0.0478460
-0.1992370 0.3793330 0.0594020 ; -0.0428200 0.4308870 0.0478460
-0.4618130 0.4912850 0.5365700 ; -0.3362050 0.5261120 0.5250480
-0.3362050 0.5261120 0.5250480 ; -0.4396160 0.5309010 0.6487270
-0.3240880 0.5664720 0.6358580 ; -0.4396160 0.5309010 0.6487270
-0.2106080 0.5579370 0.5135260 ; -0.0850020 0.5990470 0.5020040
-0.0930430 0.6286190 0.6101230 ; -0.2106080 0.5579370 0.5135260
-0.0930430 0.6286190 0.6101230 ; -0.2085640 0.5990450 0.6229900
-0.0502990 0.5000050 0.1346980 ; -0.2062520 0.4521090 0.1444560
-0.2062520 0.4521090 0.1444560 ; -0.0581650 0.4874010 0.0808990
-0.3685510 0.3865050 0.1175810 ; -0.5181680 0.3473290 0.1639710
-0.3622120 0.4012180 0.1542150 ; -0.5181680 0.3473290 0.1639710
-0.4829540 0.2060040 0.1237410 ; -0.3462950 0.2622400 0.1101080
-0.3462950 0.2622400 0.1101080 ; -0.4867740 0.2194830 0.1053590
-0.3494310 0.2733700 0.0939360 ; -0.4867740 0.2194830 0.1053590
-0.0747510 0.3721530 0.0710930 ; -0.2120940 0.3242610 0.0825120
-0.2120940 0.3242610 0.0825120 ; -0.0729710 0.3657190 0.0828340
-0.2096320 0.3154780 0.0964700 ; -0.0729710 0.3657190 0.0828340
-0.0729710 0.3657190 0.0828340 ; -0.2072330 0.3181250 0.1204910
-0.4798990 0.2094370 0.1572630 ; -0.3462950 0.2622400 0.1101080
-0.4319610 0.5384610 0.6880010 ; -0.3191080 0.5742330 0.6764730
-0.3191080 0.5742330 0.6764730 ; -0.4264990 0.5379680 0.7109630
-0.3154860 0.5734990 0.6993440 ; -0.4264990 0.5379680 0.7109630
-0.2062560 0.6070090 0.6649430 ; -0.0933990 0.6367910 0.6534130
-0.0934550 0.6355660 0.6760990 ; -0.2062560 0.6070090 0.6649430
-0.0934550 0.6355660 0.6760990 ; -0.2044720 0.6060300 0.6877200
-0.0927110 0.6024760 0.6956640 ; -0.2044720 0.6060300 0.6877200
-0.0927110 0.6024760 0.6956640 ; -0.1977930 0.5741770 0.7069770
-0.3154860 0.5734990 0.6993440 ; -0.4079540 0.5085870 0.7296020
-0.3028720 0.5428810 0.7182890 ; -0.4079540 0.5085870 0.7296020
-0.1941540 0.4907560 0.6831900 ; -0.0906860 0.5171420 0.6717470
-0.0900040 0.4992010 0.6368770 ; -0.1941540 0.4907560 0.6831900
-0.0900040 0.4992010 0.6368770 ; -0.1949610 0.4734450 0.6477460
-0.2999280 0.4446940 0.6586100 ; -0.4048830 0.4129430 0.6694760
-0.4010840 0.4289870 0.7060780 ; -0.2999280 0.4446940 0.6586100
-0.4010840 0.4289870 0.7060780 ; -0.2976170 0.4613700 0.6946320
-0.3180540 0.3591000 0.4288600 ; -0.4403010 0.3239310 0.4421180
-0.4242860 0.3743090 0.5588660 ; -0.3180540 0.3591000 0.4288600
-0.4242860 0.3743090 0.5588660 ; -0.3101180 0.4062620 0.5468570
-0.0735630 0.4174060 0.4023450 ; -0.1958120 0.3912670 0.4156000
-0.1958120 0.3912670 0.4156000 ; -0.0817840 0.4575110 0.5228400
-0.1959500 0.4352190 0.5348510 ; -0.0817840 0.4575110 0.5228400
-0.4993900 0.3975140 0.2919560 ; -0.3526120 0.4442010 0.2782980
-0.3526120 0.4442010 0.2782980 ; -0.4806150 0.4471980 0.4198300
-0.3460680 0.4885920 0.4064270 ; -0.4806150 0.4471980 0.4198300
-0.2058330 0.4878900 0.2646380 ; -0.0590560 0.5312710 0.2509820
-0.0769650 0.5649580 0.3796180 ; -0.2058330 0.4878900 0.2646380
-0.0769650 0.5649580 0.3796180 ; -0.2115110 0.5269870 0.3930230
-0.0933990 0.6367910 0.6534130 ; -0.2085640 0.5990450 0.6229900
-0.3240880 0.5664720 0.6358580 ; -0.4319610 0.5384610 0.6880010
-0.4572640 0.2712280 0.3134050 ; -0.3366220 0.2741100 0.1818180
-0.4572640 0.2712280 0.3134050 ; -0.3238040 0.3134930 0.2996950
-0.1903490 0.3527610 0.2859840 ; -0.0643190 0.3870070 0.2730360
-0.0614310 0.3682890 0.1743600 ; -0.1903490 0.3527610 0.2859840
-0.3494310 0.2733700 0.0939360 ; -0.4920670 0.2316890 0.0992670
-0.3430230 0.2881320 0.0876930 ; -0.4920670 0.2316890 0.0992670
-0.0449190 0.3920290 0.0645490 ; -0.1939730 0.3415790 0.0761190
-0.1939730 0.3415790 0.0761190 ; -0.0747510 0.3721530 0.0710930
-0.3430230 0.2881320 0.0876930 ; -0.5065390 0.2603500 0.0869570
-0.3518200 0.3175170 0.0755360 ; -0.5065390 0.2603500 0.0869570
-0.0423750 0.4228630 0.0526950 ; -0.1971030 0.3716900 0.0641140
-0.1971030 0.3716900 0.0641140 ; -0.0449190 0.3920290 0.0645490
-0.0609220 0.4724440 0.0504160 ; -0.2041300 0.4129310 0.0570350
-0.5233140 0.3014200 0.0808350 ; -0.3701480 0.3689870 0.0757670
-0.1961170 0.5671080 0.7114920 ; -0.0923430 0.5952080 0.7002490
-0.0912570 0.5552520 0.6948250 ; -0.1961170 0.5671080 0.7114920
-0.0912570 0.5552520 0.6948250 ; -0.1946370 0.5283500 0.7063670
-0.2980150 0.4984480 0.7179130 ; -0.4013930 0.4655540 0.7294550
-0.4036680 0.5019140 0.7339810 ; -0.2980150 0.4984480 0.7179130
-0.4036680 0.5019140 0.7339810 ; -0.2998940 0.5360110 0.7227380
-0.0906860 0.5171420 0.6717470 ; -0.1946370 0.5283500 0.7063670
-0.4013930 0.4655540 0.7294550 ; -0.2976170 0.4613700 0.6946320
-0.5093890 0.2645430 0.0873910 ; -0.3556630 0.3247820 0.0709540
-0.5093890 0.2645430 0.0873910 ; -0.3544850 0.3218210 0.0756440
-0.1992370 0.3793330 0.0594020 ; -0.0446780 0.4273780 0.0521540
-0.1995800 0.3760990 0.0639030 ; -0.0446780 0.4273780 0.0521540
-0.0925640 0.5986310 0.6966230 ; -0.1977930 0.5741770 0.7069770
-0.0925640 0.5986310 0.6966230 ; -0.1967250 0.5705030 0.7078700
-0.3028720 0.5428810 0.7182890 ; -0.4050540 0.5052580 0.7303620
-0.3008910 0.5393780 0.7191180 ; -0.4050540 0.5052580 0.7303620
-0.5065390 0.2603500 0.0869570 ; -0.3544850 0.3218210 0.0756440
-0.0446780 0.4273780 0.0521540 ; -0.1971030 0.3716900 0.0641140
-0.4050540 0.5052580 0.7303620 ; -0.2998940 0.5360110 0.7227380
-0.0923430 0.5952080 0.7002490 ; -0.1967250 0.5705030 0.7078700
-0.3460680 0.4885920 0.4064270 ; -0.4618130 0.4912850 0.5365700
-0.0850020 0.5990470 0.5020040 ; -0.2115110 0.5269870 0.3930230
-0.4048830 0.4129430 0.6694760 ; -0.3101180 0.4062620 0.5468570
-0.1959500 0.4352190 0.5348510 ; -0.0900040 0.4992010 0.6368770
-0.3622120 0.4012180 0.1542150 ; -0.4993900 0.3975140 0.2919560
-0.0590560 0.5312710 0.2509820 ; -0.2062520 0.4521090 0.1444560
-0.4403010 0.3239310 0.4421180 ; -0.3238040 0.3134930 0.2996950
-0.1903490 0.3527610 0.2859840 ; -0.0735630 0.4174060 0.4023450
0.2148370 0.4303660 0.0762580 ; 0.2155310 0.4222170 0.0630900
0.3698800 0.3780110 0.0898670 ; 0.2148370 0.4303660 0.0762580
0.2155310 0.4222170 0.0630900 ; 0.3698800 0.3780110 0.0898670
0.3701440 0.3689870 0.0757670 ; 0.3698800 0.3780110 0.0898670
0.2155310 0.4222170 0.0630900 ; 0.3701440 0.3689870 0.0757670
0.2133550 0.4384510 0.0992410 ; 0.2148370 0.4303660 0.0762580
0.3685450 0.3865050 0.1175810 ; 0.2133550 0.4384510 0.0992410
0.2148370 0.4303660 0.0762580 ; 0.3685450 0.3865050 0.1175810
0.3698800 0.3780110 0.0898670 ; 0.3685450 0.3865050 0.1175810
0.1990270 0.3226980 0.1780890 ; 0.3366240 0.2741100 0.1818180
0.2072290 0.3181250 0.1204910 ; 0.1990270 0.3226980 0.1780890
0.3366240 0.2741100 0.1818180 ; 0.2072290 0.3181250 0.1204910
0.3435620 0.2652790 0.1388790 ; 0.2072290 0.3181250 0.1204910
0.3366240 0.2741100 0.1818180 ; 0.3435620 0.2652790 0.1388790
0.2041260 0.4129310 0.0570350 ; 0.1992370 0.3793330 0.0594020
0.3637180 0.3586740 0.0689390 ; 0.2041260 0.4129310 0.0570350
0.1992370 0.3793330 0.0594020 ; 0.3637180 0.3586740 0.0689390
0.3556550 0.3247820 0.0709540 ; 0.3637180 0.3586740 0.0689390
0.1992370 0.3793330 0.0594020 ; 0.3556550 0.3247820 0.0709540
0.5177980 0.4870670 0.6581860 ; 0.4911440 0.5112450 0.6911890
0.5061270 0.4994120 0.6515310 ; 0.5177980 0.4870670 0.6581860
0.4911440 0.5112450 0.6911890 ; 0.5061270 0.4994120 0.6515310
0.4866570 0.5159270 0.6783660 ; 0.5061270 0.4994120 0.6515310
0.4911440 0.5112450 0.6911890 ; 0.4866570 0.5159270 0.6783660
0.5397480 0.4416210 0.5485670 ; 0.5177980 0.4870670 0.6581860
0.5273610 0.4555860 0.5429960 ; 0.5397480 0.4416210 0.5485670
0.5177980 0.4870670 0.6581860 ; 0.5273610 0.4555860 0.5429960
0.5061270 0.4994120 0.6515310 ; 0.5273610 0.4555860 0.5429960
0.5567600 0.3612040 0.4438770 ; 0.5349790 0.4083080 0.5591860
0.5617020 0.3961740 0.4353260 ; 0.5567600 0.3612040 0.4438770
0.5349790 0.4083080 0.5591860 ; 0.5617020 0.3961740 0.4353260
0.5397480 0.4416210 0.5485670 ; 0.5617020 0.3961740 0.4353260
0.5349790 0.4083080 0.5591860 ; 0.5397480 0.4416210 0.5485670
0.5131940 0.4554110 0.6708720 ; 0.4851120 0.4819210 0.7072140
0.5177980 0.4870670 0.6581860 ; 0.5131940 0.4554110 0.6708720
0.4851120 0.4819210 0.7072140 ; 0.5177980 0.4870670 0.6581860
0.4851120 0.4819210 0.7072140 ; 0.4911440 0.5112450 0.6911890
0.2085600 0.5990450 0.6229900 ; 0.2106020 0.5579370 0.5135260
